"행정구역별(읍면동)",2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"행정구역별(읍면동)",총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),외국인-계 (명),외국인-남자 (명),외국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택-계 (호),단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호),비거주용 건물내 주택 (호),주택이외의 거처 (호)
"부산진구",350426,167405,183021,347419,166274,181145,3007,1131,1876,165087,164101,61,925,147184,20723,102188,1694,21284,1295,17822
"동래구",267292,129093,138199,266000,128657,137343,1292,436,856,112618,112153,42,423,100567,11539,71382,2629,13818,1199,7475
"남구",258062,126131,131931,250918,122518,128400,7144,3613,3531,113756,111263,68,2425,106699,15286,64823,3002,22678,910,5373
"북구",275580,135387,140193,272900,134246,138654,2680,1141,1539,117847,117296,42,509,110579,7070,90810,2321,9703,675,2650
"해운대구",377199,181375,195824,372380,179069,193311,4819,2306,2513,162056,160597,38,1421,147247,11802,117897,2406,14282,860,15698
"사하구",303000,150370,152630,297751,147211,150540,5249,3159,2090,132968,131434,75,1459,120728,16702,85589,5134,12305,998,6236
"금정구",227484,110587,116897,222275,108539,113736,5209,2048,3161,103878,101834,87,1957,87098,15436,49342,3044,18033,1243,4805
"강서구",143734,75952,67782,137724,70950,66774,6010,5002,1008,57980,56601,38,1341,48768,8684,38544,331,774,435,5183
"연제구",199751,95333,104418,198752,94963,103789,999,370,629,87823,87486,35,302,77106,9915,53161,1334,11858,838,6223
"수영구",170007,79729,90278,168267,78953,89314,1740,776,964,81042,80409,30,603,71989,9224,40330,2165,19546,724,6656
"사상구",206948,103562,103386,201151,100465,100686,5797,3097,2700,93361,91789,57,1515,77530,9165,58324,788,8392,861,5851
"기장군",174501,86365,88136,171881,84663,87218,2620,1702,918,72002,71346,41,615,69010,8150,54848,1402,3907,703,2691
"대구광역시",2366852,1165698,1201154,2328003,1145462,1182541,38849,20236,18613,1024104,1010834,610,12660,834637,137208,627191,8915,51403,9920,26044
"읍부",234882,118914,115968,228154,114967,113187,6728,3947,2781,94023,92037,62,1924,89917,8508,78355,541,1720,793,2509
"면부",31241,16419,14822,29592,15190,14402,1649,1229,420,13431,13011,20,400,13216,4356,8229,121,343,167,601
"동부",2100729,1030365,1070364,2070257,1015305,1054952,30472,15060,15412,916650,905786,528,10336,731504,124344,540607,8253,49340,8960,22934
"중구",77512,37059,40453,76745,36723,40022,767,336,431,37635,37289,36,310,29367,5889,21206,356,1114,802,3842
"동구",332954,162916,170038,330580,162140,168440,2374,776,1598,148484,147698,82,704,128977,21772,90614,2262,12756,1573,4557
"서구",160754,79872,80882,157798,78301,79497,2956,1571,1385,74277,73196,56,1025,51762,20403,18816,733,10737,1073,1165
"남구",142675,67983,74692,140652,67155,73497,2023,828,1195,71361,70698,61,602,43029,17711,18453,553,5502,810,1294
"북구",439303,218472,220831,432605,215309,217296,6698,3163,3535,188354,185834,108,2412,151840,19087,123063,1760,6195,1735,4240
"수성구",402458,194837,207621,400315,193991,206324,2143,846,1297,164059,163237,53,769,139502,19514,110700,1367,6839,1082,4072
"달서구",545073,269226,275847,531562,261686,269876,13511,7540,5971,232480,227834,132,4514,187027,19968,157755,1222,6197,1885,3764
"달성군",266123,135333,130790,257746,130157,127589,8377,5176,3201,107454,105048,82,2324,103133,12864,86584,662,2063,960,3110
"인천광역시",2989125,1499105,1490020,2878924,1438975,1439949,110201,60130,50071,1249056,1212731,901,35424,1087837,93320,717820,29807,238189,8701,110433
"읍부",21750,10799,10951,21375,10595,10780,375,204,171,9300,9191,10,99,9278,3434,1154,923,3609,158,299
"면부",63999,33648,30351,62828,32785,30043,1171,863,308,30184,29811,68,305,29805,24942,1749,843,1593,678,1562
"동부",2903376,1454658,1448718,2794721,1395595,1399126,108655,59063,49592,1209572,1173729,823,35020,1048754,64944,714917,28041,232987,7865,108572
"중구",150777,77801,72976,145155,75004,70151,5622,2797,2825,68991,67124,66,1801,56953,7906,38733,1869,7778,667,9691
"동구",58078,29169,28909,56791,28462,28329,1287,707,580,25471,25069,19,383,26253,5841,16703,438,2997,274,973
"연수구",400488,199745,200743,377470,187752,189718,23018,11993,11025,153062,145258,85,7719,128264,3434,117060,960,6511,299,13613
"남동구",511392,255604,255788,494117,244914,249203,17275,10690,6585,215793,210750,146,4897,188807,7920,129942,3564,46139,1242,20183
"부평구",498254,245816,252438,474349,233826,240523,23905,11990,11915,211176,202792,109,8275,177663,10156,118532,4518,43166,1291,23819
"계양구",288122,142279,145843,283241,140149,143092,4881,2130,2751,119291,117769,87,1435,110061,3508,71891,1707,32319,636,5097
"서구",581069,295063,286006,563432,283812,279620,17637,11251,6386,231174,225749,132,5293,208308,9022,145416,9885,42988,997,15189
"미추홀구",415196,209181,206015,400166,201676,198490,15030,7505,7525,184614,179218,179,5217,152445,17157,76640,5100,51089,2459,20007
"강화군",66420,33292,33128,65250,32520,32730,1170,772,398,29604,29259,59,286,30652,22153,2343,1200,4344,612,1506
"옹진군",19329,11155,8174,18953,10860,8093,376,295,81,9880,9743,19,118,8431,6223,560,566,858,224,355
"광주광역시",1468972,728859,740113,1436109,711350,724759,32863,17509,15354,634113,623252,356,10505,555185,78236,451265,11112,8836,5736,20151
"동구",111181,55149,56032,109008,54012,54996,2173,1137,1036,52106,51245,52,809,43254,10201,28908,988,2297,860,2632
"서구",286793,141113,145680,284320,139948,144372,2473,1165,1308,128885,127918,48,919,109055,13732,91269,1452,1574,1028,5725
"남구",214531,102898,111633,212678,102191,110487,1853,707,1146,91463,90939,45,479,84037,15089,65377,1460,1254,857,1820
"북구",434712,216165,218547,428516,213259,215257,6196,2906,3290,190549,188407,89,2053,167568,22665,137247,2853,2740,2063,4425
"광산구",421755,213534,208221,401587,201940,199647,20168,11594,8574,171110,164743,122,6245,151271,16549,128464,4359,971,928,5549
"대전광역시",1473662,737127,736535,1447379,725095,722284,26283,12032,14251,656236,646474,527,9235,510178,76321,383514,10576,34701,5066,13894
"동구",231324,116188,115136,224735,113193,111542,6589,2995,3594,107578,104997,111,2470,81642,17754,53484,2327,6989,1088,1122
"중구",224114,109817,114297,222086,109073,113013,2028,744,1284,99816,99050,103,663,83067,17078,53526,2446,8645,1372,1387
"서구",474248,232872,241376,469044,230793,238251,5204,2079,3125,211765,209618,121,2026,156506,19482,126602,2583,6899,940,4345
"유성구",369281,189660,179621,360120,185070,175050,9161,4590,4571,159687,156411,141,3135,124388,11442,107067,1621,3380,878,5932
"대덕구",174695,88590,86105,171394,86966,84428,3301,1624,1677,77390,76398,51,941,64575,10565,42835,1599,8788,788,1108
"울산광역시",1110516,573080,537436,1084164,557386,526778,26352,15694,10658,462748,453998,264,8486,400155,64875,295539,8536,24519,6686,14755
"읍부",190448,99518,90930,183014,94993,88021,7434,4525,2909,77911,75151,49,2711,69373,11588,51586,1453,3610,1136,2375
