"Status";"Add.";"SNAdd.";"BN";"LD";"DoC"
"43";"폐업";"서울특별시 종로구 창신동 583-2 ";NA;"동원석유";1971-06-23;NA
"44";"폐업";"서울특별시 성북구 돈암동 48-84 ";"서울특별시 성북구 동소문로 179-20  (돈암동)";"삼정석유";1971-08-28;"20080101"
"45";"폐업";"서울특별시 성동구 금호동2가 325 ";"서울특별시 성동구 금호산길 71  (금호동2가)";"일광 석유";1971-08-30;NA
"46";"폐업";"서울특별시 성북구 석관동 341-28 ";NA;"엘지석유";1971-09-13;"20061010"
"47";"폐업";"서울특별시 서초구 서초동 1486-6 ";"서울특별시 서초구 효령로 222  (서초동)";"동양석유";1972-01-19;NA
"48";"폐업";"서울특별시 강북구 미아동 682-12 ";"서울특별시 강북구 삼양로 160 (미아동)";"미양주유소";1972-04-24;"20150515"
"49";"영업/정상";"서울특별시 구로구 구로동 1131-4";"서울특별시 구로구 시흥대로 531 (구로동)";"에이치디현대오일뱅크(주) 직영 구로셀프주유소";1973-09-28;NA
"50";"폐업";"서울특별시 은평구 진관외동 175-434 ";NA;"새마을석유";1973-10-01;"20080616"
"51";"영업/정상";"서울특별시 종로구 사직동 262-85 ";"서울특별시 종로구 사직로 65 (사직동)";"주식회사 대양씨앤씨";1973-12-28;NA
"52";"영업/정상";"서울특별시 금천구 시흥동 980 (시흥대로 646-2)";"서울특별시 금천구 시흥대로 39-7 (시흥동)";"SK에너지(주) 박미주유소";1974-01-04;NA
"53";"폐업";"서울특별시 종로구 사직동 228 ";"서울특별시 종로구 사직로 73 (사직동)";"한국석유";1974-04-16;NA
"54";"폐업";"서울특별시 종로구 와룡동 5-10 ";"서울특별시 종로구 율곡로 102 (와룡동)";"대성석유(주)직영비원주유소";1974-06-04;"20120217"
"55";"폐업";"서울특별시 성북구 하월곡동 26-1 ";NA;"성월사";1974-11-30;"20070904"
"56";"폐업";"서울특별시 종로구 평창동 157-1 ";"서울특별시 종로구 평창문화로 81  (평창동)";"경일석유(주)세검정주유소";1974-12-26;"20101214"
"57";"폐업";"서울특별시 종로구 숭인동 1104 ";"서울특별시 종로구 숭인동길 44  (숭인동)";"세왕상사";1975-01-07;NA
"58";"폐업";"서울특별시 강남구 역삼동 765 ";"서울특별시 강남구 도곡로57길 18 (역삼동)";"동일석유";1975-02-13;NA
"59";"폐업";"서울특별시 성북구 하월곡동 81-57 ";"서울특별시 성북구 오패산로17길 21-7  (하월곡동)";"월곡석유";1975-02-26;"20080101"
"60";"폐업";"서울특별시 은평구 역촌동 13-25 ";"서울특별시 은평구 역말로7길 10  (역촌동)";"미륭석유주";1975-02-26;NA
"61";"폐업";"서울특별시 성북구 상월곡동 57-5 ";"서울특별시 성북구 장월로1길 69  (상월곡동)";"동아석유";1975-03-06;"20080101"
"62";"영업/정상";"서울특별시 서대문구 연희동 220-55 구도일주유소";"서울특별시 서대문구 성산로 312, 구도일주유소 (연희동)";"(주)한화미 구도일주유소 두꺼비";1975-03-08;NA
"63";"폐업";"서울특별시 강남구 역삼동 727-9 8통1반 ";"서울특별시 강남구 역삼로25길 21  (역삼동)";"지에스칼텍스(주)가좌점";1975-03-08;"20090508"
"64";"폐업";"서울특별시 강남구 역삼동 727-9 8통1반 ";"서울특별시 강남구 역삼로25길 21  (역삼동)";"가좌";1975-03-08;"20081111"
"65";"영업/정상";"서울특별시 서대문구 홍제동 103-9 독립문주유소";"서울특별시 서대문구 통일로 384, 독립문주유소 (홍제동)";"에이치디현대오일뱅크(주)직영 독립문주유소";1975-03-15;NA
"66";"영업/정상";"서울특별시 강북구 미아동 135-13 ";"서울특별시 강북구 도봉로 124 (미아동)";"주식회사 지에스이앤알 미아주유소";1975-03-15;NA
"67";"폐업";"서울특별시 강남구 역삼동 727-9 8통1반 ";"서울특별시 강남구 역삼로25길 21 (역삼동)";"홍제주유소";1975-03-15;"20081111"
"68";"영업/정상";"서울특별시 서대문구 홍제동 22-3 홍제동주유소 ";"서울특별시 서대문구 통일로 372, 홍제동주유소 (홍제동)";"지에스칼텍스(주)홍제동주유소";1975-03-15;NA
"69";"폐업";"서울특별시 서대문구 충정로3가 3-131 ";"서울특별시 서대문구 경기대로9길 76  (충정로3가)";"(주)쌍용에너지";1975-04-01;NA
"70";"영업/정상";"서울특별시 서대문구 연희동 89-7 ";"서울특별시 서대문구 연희로 129 (연희동)";"연희주유소";1975-04-07;NA
"71";"폐업";"서울특별시 서대문구 연희동 86-7 ";"서울특별시 서대문구 연희로 141 (연희동)";"현대오일뱅크(주)직영연희현대주유소";1975-04-23;"20150301"
"72";"영업/정상";"서울특별시 성북구 하월곡동 76-57 ";"서울특별시 성북구 오패산로 63-1 (하월곡동)";"동네에너지";1975-05-14;NA
"73";"폐업";"서울특별시 성북구 동선동3가 243 ";"서울특별시 성북구 보문로34가길 5  (동선동3가)";"동선석유";1975-06-04;"20080101"
"74";"폐업";"서울특별시 강남구 역삼동 706-18 ";"서울특별시 강남구 언주로90길 12  (역삼동)";"금방석유";1975-07-08;"20070423"
"75";"폐업";"서울특별시 종로구 창신동 23-409 ";"서울특별시 종로구 창신6가길 50 (창신동)";"한국등유상사";1975-08-19;NA
"76";"영업/정상";"서울특별시 서대문구 연희동 353-77";"서울특별시 서대문구 연희로 52-6 (연희동)";"순팔에너지";1975-09-11;NA
"77";"폐업";"서울특별시 성북구 정릉동 16-392 ";"서울특별시 성북구 정릉로38라길 28  (정릉동)";"바다석유";1975-10-16;"20080101"
"78";"영업/정상";"서울특별시 종로구 혜화동 102-2 ";"서울특별시 종로구 창경궁로35길 1 (혜화동)";"(주)중앙에너비스혜화지점";1975-12-19;NA
"79";"폐업";"서울특별시 강남구 논현동 94 ";"서울특별시 강남구 도산대로 334  (논현동)";"영동주유소";1976-03-27;NA
"80";"영업/정상";"서울특별시 동작구 신대방동 686-44";"서울특별시 동작구 시흥대로 616 (신대방동)";"에이치디현대오일뱅크(주)직영 신대방 셀프 주유소";1976-04-02;NA
"81";"폐업";"서울특별시 서초구 서초동 1354-3 ";"서울특별시 서초구 남부순환로 2547  (서초동)";"협신석유(주)대정주유소";1976-04-02;NA
"82";"폐업";"서울특별시 강북구 수유동 47-2 ";"서울특별시 강북구 도봉로 295 (수유동)";"성북주유소";1976-04-10;"20160408"
"83";"폐업";"서울특별시 종로구 숭인동 310 ";"서울특별시 종로구 종로 344  (숭인동)";"(주)미륭상사동대문주유소";1976-04-22;NA
"84";"영업/정상";"서울특별시 은평구 불광동 493";"서울특별시 은평구 통일로 924 (불광동)";"서울석유(주) 은평뉴타운주유소";1976-04-25;NA
"85";"폐업";"서울특별시 성동구 도선동 21-1 ";"서울특별시 성동구 고산자로 255  (도선동)";"도선동 주유소";1976-04-26;NA
"86";"영업/정상";"서울특별시 금천구 독산동 967 (시흥대로 201) ";"서울특별시 금천구 시흥대로 484 (독산동)";"(주)화동유업";1976-04-26;NA
"87";"영업/정상";"서울특별시 동대문구 전농동 26-5 ";"서울특별시 동대문구 전농로 121 (전농동)";"재정주유소";1976-04-27;NA
"88";"폐업";"서울특별시 성북구 안암동4가 41-37 ";"서울특별시 성북구 안암로 17 (안암동4가)";"제삼주유소";1976-04-27;"20171226"
"89";"폐업";"서울특별시 성북구 동소문동6가 116 ";"서울특별시 성북구 동소문로 93  (동소문동6가)";"풍국주유소";1976-04-27;NA
"90";"영업/정상";"서울특별시 마포구 도화동 174-1 ";"서울특별시 마포구 마포대로 69 (도화동)";"에스케이에너지(주) 양지주유소";1976-04-27;NA
"91";"폐업";"서울특별시 중구 초동 107-12 ";"서울특별시 중구 마른내로 31 (초동)";"지에스칼텍스(주)초동주유소";1976-04-28;"20200901"
